20.13.152.21 - aneel [17/Dec/2025:17:49:14 -0700] "POST /login/login?user=aneel&password=MlV55Ss5LaVtYS&status=unauthorized HTTP/1.1" 401 22222 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
142.223.91.78 - koepp4411 [17/Dec/2025:17:49:19 -0700] "POST /optimize HTTP/1.1" 302 55739 "http://www.humanmodels.io/methodologies/best-of-breed" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_9) AppleWebKit/5322 (KHTML, like Gecko) Chrome/36.0.808.0 Mobile Safari/5322"
29.217.42.252 - khizrali_kradiya [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=khizrali_kradiya&password=BqFTzmTO&status=unauthorized HTTP/1.1" 401 20035 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
183.144.37.65 - saira_jiwani [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=saira_jiwani&password=liuVVp8TLV0x&status=unauthorized HTTP/1.1" 401 15338 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
190.248.193.185 - swift3352 [17/Dec/2025:17:49:19 -0700] "GET /e-enable/e-tailers HTTP/2.0" 404 19959 "http://www.corporateinnovative.com/harness/supply-chains/platforms/global" "Mozilla/5.0 (X11; Linux x86_64; rv:6.0) Gecko/1914-22-01 Firefox/35.0"
216.185.91.154 - sam_k [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=sam_k&password=jf3W1K1mbs&status=unauthorized HTTP/1.1" 401 21073 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
179.132.160.146 - haag4567 [17/Dec/2025:17:49:19 -0700] "PUT /architect/embrace/value-added/vertical HTTP/1.1" 304 11941 "http://www.forwardstreamline.name/intuitive" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0) AppleWebKit/5352 (KHTML, like Gecko) Chrome/38.0.871.0 Mobile Safari/5352"
197.212.52.176 - wiza8421 [17/Dec/2025:17:49:19 -0700] "PATCH /unleash HTTP/1.0" 504 87265 "https://www.internalgranular.net/revolutionary/transition/viral/solutions" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_7) AppleWebKit/5360 (KHTML, like Gecko) Chrome/39.0.853.0 Mobile Safari/5360"
239.5.192.182 - schinner2385 [17/Dec/2025:17:49:19 -0700] "HEAD /24%2f7/cutting-edge/transform/mission-critical HTTP/1.0" 504 79793 "https://www.investormarkets.name/customized/visionary/leading-edge" "Opera/9.84 (X11; Linux x86_64; en-US) Presto/2.13.226 Version/10.00"
49.49.55.44 - fayyaz_makhani [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=fayyaz_makhani&password=CSfML3SVR&status=unauthorized HTTP/1.1" 401 17809 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
158.215.22.26 - ali_dharani [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=ali_dharani&password=i38wW3v2hPClP&status=unauthorized HTTP/1.1" 401 15117 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
251.219.14.66 - jamil_jaffer [17/Dec/2025:17:49:27 -0700] "POST /login/login?user=jamil_jaffer&password=le2meIb8&status=unauthorized HTTP/1.1" 401 23453 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
211.244.146.79 - johnson8110 [17/Dec/2025:17:49:19 -0700] "PUT /seize/next-generation/empower HTTP/2.0" 401 40822 "https://www.seniormonetize.net/b2c/architect/scalable/architectures" "Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.41.5 (KHTML, like Gecko) Version/4.0 Safari/533.41.5"
163.156.119.214 - cormier3736 [17/Dec/2025:17:49:19 -0700] "GET /markets/relationships HTTP/1.0" 204 82935 "http://www.chiefbenchmark.org/e-markets" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_6 rv:5.0; en-US) AppleWebKit/534.33.8 (KHTML, like Gecko) Version/5.2 Safari/534.33.8"
58.25.58.102 - johns5023 [17/Dec/2025:17:49:19 -0700] "PATCH /orchestrate/whiteboard HTTP/2.0" 403 58917 "https://www.nationalportals.com/productize/extensible" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5331 (KHTML, like Gecko) Chrome/39.0.872.0 Mobile Safari/5331"
88.96.33.232 - - [17/Dec/2025:17:49:19 -0700] "GET /value-added/platforms/strategize/24%2f365 HTTP/1.1" 502 30344 "http://www.dynamicb2b.org/vertical" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5352 (KHTML, like Gecko) Chrome/40.0.850.0 Mobile Safari/5352"
121.97.211.123 - - [17/Dec/2025:17:49:19 -0700] "PUT /e-services/unleash/user-centric/target HTTP/2.0" 100 69071 "http://www.customerpartnerships.net/open-source/one-to-one/portals/e-markets" "Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.34.2 (KHTML, like Gecko) Version/6.1 Safari/532.34.2"
203.141.78.54 - - [17/Dec/2025:17:49:19 -0700] "GET /extend/wireless/synthesize/roi HTTP/1.0" 404 71732 "http://www.dynamicinfomediaries.io/whiteboard/plug-and-play/technologies" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5332 (KHTML, like Gecko) Chrome/40.0.844.0 Mobile Safari/5332"
78.187.220.2 - - [17/Dec/2025:17:49:19 -0700] "PATCH /supply-chains HTTP/1.0" 302 29792 "https://www.regionalbleeding-edge.biz/magnetic/transparent/back-end" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5352 (KHTML, like Gecko) Chrome/39.0.845.0 Mobile Safari/5352"
117.125.166.161 - jacobson8086 [17/Dec/2025:17:49:19 -0700] "HEAD /convergence/integrated HTTP/1.1" 403 57225 "http://www.internationalturn-key.com/incentivize" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5360 (KHTML, like Gecko) Chrome/39.0.854.0 Mobile Safari/5360"
69.2.151.248 - osinski5703 [17/Dec/2025:17:49:19 -0700] "DELETE /magnetic/brand/enable/24%2f365 HTTP/1.1" 401 62257 "https://www.dynamic24/7.name/transform/iterate" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3) AppleWebKit/5321 (KHTML, like Gecko) Chrome/37.0.811.0 Mobile Safari/5321"
172.56.164.234 - - [17/Dec/2025:17:49:19 -0700] "POST /leverage/end-to-end/customized/utilize HTTP/2.0" 400 4558 "https://www.dynamicefficient.org/iterate" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5330 (KHTML, like Gecko) Chrome/40.0.892.0 Mobile Safari/5330"
130.165.151.64 - armaan_chakkiwala [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=armaan_chakkiwala&password=QDqVMZMrGp&status=unauthorized HTTP/1.1" 401 10192 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
193.172.9.158 - zain_mitha [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=zain_mitha&password=4X5wjB9dTZRaf&status=unauthorized HTTP/1.1" 401 2638 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
206.182.231.30 - arshad_somani [17/Dec/2025:17:49:26 -0700] "POST /login/login?user=arshad_somani&password=hbWp2YEwR5k&status=unauthorized HTTP/1.1" 401 5753 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
185.125.1.66 - moez [17/Dec/2025:17:49:30 -0700] "POST /login/login?user=moez&password=fBT1eOQGA&status=unauthorized HTTP/1.1" 401 18770 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
185.84.120.208 - yundt6625 [17/Dec/2025:17:49:19 -0700] "PATCH /systems/granular/virtual/repurpose HTTP/1.1" 400 43112 "https://www.corporateeyeballs.io/efficient/content/customized/transition" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5352 (KHTML, like Gecko) Chrome/38.0.831.0 Mobile Safari/5352"
83.13.203.36 - ali_dharani [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=ali_dharani&password=AJoDgQY05&status=unauthorized HTTP/1.1" 401 1800 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
15.172.29.226 - - [17/Dec/2025:17:49:19 -0700] "PUT /unleash/eyeballs/integrated/cross-platform HTTP/1.0" 401 91870 "http://www.corporateinterfaces.com/maximize" "Mozilla/5.0 (Windows NT 6.2; en-US; rv:1.9.0.20) Gecko/1992-25-12 Firefox/35.0"
105.30.30.233 - - [17/Dec/2025:17:49:19 -0700] "PATCH /repurpose HTTP/1.0" 503 84141 "https://www.investorrevolutionary.org/maximize/experiences" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_9 rv:6.0; en-US) AppleWebKit/534.2.4 (KHTML, like Gecko) Version/6.2 Safari/534.2.4"
202.76.244.136 - paucek2062 [17/Dec/2025:17:49:19 -0700] "PATCH /users/visualize HTTP/1.1" 302 47310 "https://www.legacyaggregate.info/harness/harness/visionary" "Opera/10.50 (Windows CE; en-US) Presto/2.9.307 Version/11.00"
36.212.35.161 - shahzeb_jiwani [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=shahzeb_jiwani&password=Z74j5Iwfb6xw&status=unauthorized HTTP/1.1" 401 5718 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
135.215.242.182 - aneel [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=aneel&password=nRZGXuwYK&status=unauthorized HTTP/1.1" 401 4687 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
31.150.220.129 - - [17/Dec/2025:17:49:19 -0700] "PUT /technologies/plug-and-play HTTP/1.1" 504 30645 "https://www.dynamiccustomized.info/transform/eyeballs/dynamic" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_1 rv:5.0) Gecko/1950-09-10 Firefox/37.0"
196.60.240.13 - zoheb_makani [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=zoheb_makani&password=VgaUBZhi6&status=unauthorized HTTP/1.1" 401 10813 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
168.42.242.211 - lind1766 [17/Dec/2025:17:49:19 -0700] "HEAD /supply-chains/virtual HTTP/1.1" 301 36318 "http://www.internaldeliverables.org/facilitate/impactful/granular/vortals" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_7) AppleWebKit/5360 (KHTML, like Gecko) Chrome/36.0.854.0 Mobile Safari/5360"
46.205.250.129 - shehzad_merchant [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=shehzad_merchant&password=w3gIh4g5fM&status=unauthorized HTTP/1.1" 401 1396 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
137.73.49.198 - bosco7487 [17/Dec/2025:17:49:19 -0700] "PATCH /users HTTP/1.0" 502 56101 "https://www.forwardcutting-edge.org/exploit" "Opera/8.17 (Macintosh; PPC Mac OS X 10_7_2; en-US) Presto/2.8.348 Version/11.00"
200.164.179.154 - - [17/Dec/2025:17:49:19 -0700] "PUT /exploit/streamline/next-generation HTTP/2.0" 416 23257 "https://www.internationalbenchmark.net/out-of-the-box" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3 rv:3.0) Gecko/1905-19-12 Firefox/37.0"
18.159.248.217 - michelle_hirani_khoja [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=michelle_hirani_khoja&password=CedUgia6&status=unauthorized HTTP/1.1" 401 15835 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
183.180.78.191 - saira_jiwani [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=saira_jiwani&password=273FNhMPdXrLU&status=unauthorized HTTP/1.1" 401 2819 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
