146.63.90.83 - turgay_korkmaz [17/Dec/2025:17:49:15 -0700] "POST /login/login?user=turgay_korkmaz&password=nXE3oVQXQx9m&status=unauthorized HTTP/1.1" 401 7764 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
248.101.250.131 - - [17/Dec/2025:17:49:19 -0700] "PUT /solutions/web-readiness HTTP/1.1" 500 31931 "https://www.investorscalable.com/robust" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_2 like Mac OS X; en-US) AppleWebKit/534.35.1 (KHTML, like Gecko) Version/5.0.5 Mobile/8B119 Safari/6534.35.1"
9.221.116.252 - - [17/Dec/2025:17:49:19 -0700] "PATCH /mindshare/visionary/embrace HTTP/1.1" 302 27334 "https://www.legacyweb-readiness.name/initiatives/synthesize/unleash/frictionless" "Mozilla/5.0 (Windows 95) AppleWebKit/5341 (KHTML, like Gecko) Chrome/36.0.849.0 Mobile Safari/5341"
54.187.33.58 - rajkumar_banoth [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=rajkumar_banoth&password=g1gc8R9E&status=unauthorized HTTP/1.1" 401 14563 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
163.196.62.39 - kevin_desai [17/Dec/2025:17:49:28 -0700] "POST /login/login?user=kevin_desai&password=Q2cSFGUtgZnW&status=unauthorized HTTP/1.1" 401 23209 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
181.209.206.44 - joaquin [17/Dec/2025:17:49:32 -0700] "POST /login/login?user=joaquin&password=UFMLHMHElX&status=unauthorized HTTP/1.1" 401 17275 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
66.16.123.7 - - [17/Dec/2025:17:49:19 -0700] "DELETE /metrics/communities/synergize HTTP/1.0" 204 90706 "https://www.regionalsynergistic.name/embrace/partnerships/exploit/deploy" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_6 rv:4.0; en-US) AppleWebKit/536.15.6 (KHTML, like Gecko) Version/6.1 Safari/536.15.6"
46.7.33.95 - turgay_korkmaz [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=turgay_korkmaz&password=hgqESmA69ZK4&status=unauthorized HTTP/1.1" 401 20555 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
24.69.53.73 - - [17/Dec/2025:17:49:19 -0700] "DELETE /reintermediate/next-generation/grow HTTP/2.0" 503 99982 "http://www.investortarget.name/vertical/cutting-edge/user-centric" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/5330 (KHTML, like Gecko) Chrome/38.0.806.0 Mobile Safari/5330"
99.108.241.126 - schowalter6578 [17/Dec/2025:17:49:19 -0700] "PATCH /experiences/envisioneer HTTP/1.0" 406 37011 "http://www.customerusers.io/metrics" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_5) AppleWebKit/5361 (KHTML, like Gecko) Chrome/39.0.828.0 Mobile Safari/5361"
247.83.100.84 - daniel_ruiz [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=daniel_ruiz&password=YFmLCH6OB8&status=unauthorized HTTP/1.1" 401 12729 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
138.167.12.243 - safia_basheeruddin [17/Dec/2025:17:49:27 -0700] "POST /login/login?user=safia_basheeruddin&password=hed6GlTgBZAu4v&status=unauthorized HTTP/1.1" 401 10818 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
86.205.196.255 - kirlin5576 [17/Dec/2025:17:49:19 -0700] "HEAD /integrate/wireless HTTP/1.1" 201 52545 "http://www.centralbricks-and-clicks.net/collaborative/deploy/communities/interfaces" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_0) AppleWebKit/5332 (KHTML, like Gecko) Chrome/36.0.835.0 Mobile Safari/5332"
164.181.248.39 - - [17/Dec/2025:17:49:19 -0700] "PUT /e-markets/technologies/revolutionary HTTP/2.0" 400 15136 "http://www.internationalkiller.com/24/7/redefine/syndicate/mesh" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5360 (KHTML, like Gecko) Chrome/37.0.812.0 Mobile Safari/5360"
4.177.165.235 - - [17/Dec/2025:17:49:19 -0700] "DELETE /ubiquitous/integrated/matrix/revolutionary HTTP/1.0" 500 39931 "https://www.dynamiccollaborative.info/leverage/content/synergize" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/5332 (KHTML, like Gecko) Chrome/36.0.815.0 Mobile Safari/5332"
205.173.56.103 - huels8643 [17/Dec/2025:17:49:19 -0700] "GET /infomediaries/innovate/envisioneer HTTP/1.1" 302 74407 "https://www.legacyredefine.info/initiatives/24/365" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_4 rv:6.0; en-US) AppleWebKit/534.10.1 (KHTML, like Gecko) Version/5.1 Safari/534.10.1"
5.179.45.163 - gregory_white [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=gregory_white&password=kqIY5FVB&status=unauthorized HTTP/1.1" 401 21006 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
15.252.64.116 - - [17/Dec/2025:17:49:19 -0700] "POST /b2b/interactive/world-class HTTP/1.1" 502 41093 "http://www.principalfunctionalities.biz/leverage/recontextualize/architectures/intuitive" "Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.32.3 (KHTML, like Gecko) Version/6.2 Safari/534.32.3"
27.107.197.227 - eichmann1300 [17/Dec/2025:17:49:19 -0700] "HEAD /seamless/deliverables/engage HTTP/1.1" 205 74167 "https://www.seniorstrategize.io/back-end/sexy/visionary" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5320 (KHTML, like Gecko) Chrome/38.0.846.0 Mobile Safari/5320"
134.149.175.169 - samantha_vivanco [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=samantha_vivanco&password=1z7UOTLMWh&status=unauthorized HTTP/1.1" 401 17186 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
124.79.193.203 - becker5464 [17/Dec/2025:17:49:19 -0700] "GET /eyeballs/implement/24%2f365/enhance HTTP/2.0" 204 2999 "https://www.futurebest-of-breed.io/deliver/convergence/functionalities/best-of-breed" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/39.0.850.0 Mobile Safari/5341"
87.172.127.138 - oliver_krauss [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=oliver_krauss&password=1pIaefwMJo&status=unauthorized HTTP/1.1" 401 22380 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
174.87.208.39 - wolff7815 [17/Dec/2025:17:49:19 -0700] "DELETE /real-time/incubate HTTP/1.1" 406 93202 "https://www.productworld-class.org/markets/cross-platform/orchestrate/disintermediate" "Opera/9.63 (Macintosh; U; Intel Mac OS X 10_7_7; en-US) Presto/2.13.175 Version/11.00"
224.249.149.134 - ke_yang [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=ke_yang&password=vzTyRU5UaErZ&status=unauthorized HTTP/1.1" 401 17184 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
140.36.46.6 - john_quarles [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=john_quarles&password=WOBeZUlHC&status=unauthorized HTTP/1.1" 401 14953 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
165.174.134.134 - hondo_limon [17/Dec/2025:17:49:26 -0700] "POST /login/login?user=hondo_limon&password=jtnyO3dGqxB&status=unauthorized HTTP/1.1" 401 17831 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
46.152.127.128 - bradtke1120 [17/Dec/2025:17:49:19 -0700] "POST /target/synthesize/monetize HTTP/1.0" 204 92433 "https://www.dynamiccultivate.org/bleeding-edge/global/leading-edge/leading-edge" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_7) AppleWebKit/5342 (KHTML, like Gecko) Chrome/39.0.824.0 Mobile Safari/5342"
207.18.85.161 - renner3071 [17/Dec/2025:17:49:19 -0700] "PATCH /web-enabled/bleeding-edge/holistic/strategic HTTP/1.0" 406 20142 "http://www.futurevisionary.com/harness/turn-key/incubate" "Mozilla/5.0 (Windows CE; en-US; rv:1.9.0.20) Gecko/1944-01-05 Firefox/35.0"
129.148.88.69 - aidan_kollar [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=aidan_kollar&password=WvJcOw70w&status=unauthorized HTTP/1.1" 401 12896 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
163.87.228.25 - windler3086 [17/Dec/2025:17:49:19 -0700] "HEAD /whiteboard/e-commerce/customized/global HTTP/2.0" 405 15175 "https://www.directaggregate.net/incubate" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_8 rv:7.0) Gecko/1944-27-05 Firefox/36.0"
98.188.109.230 - - [17/Dec/2025:17:49:19 -0700] "PATCH /leading-edge/cutting-edge/architect HTTP/1.1" 302 64358 "https://www.futuresynergies.net/synthesize/impactful" "Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.3.20) Gecko/1980-11-05 Firefox/37.0"
245.63.37.91 - runolfsdottir4240 [17/Dec/2025:17:49:19 -0700] "PATCH /empower/mesh/solutions HTTP/1.1" 204 53935 "https://www.futuredynamic.name/virtual/evolve/open-source" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_4 rv:6.0) Gecko/1994-02-09 Firefox/35.0"
14.207.103.75 - jacqueline_arias [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=jacqueline_arias&password=lEdBRBjf&status=unauthorized HTTP/1.1" 401 10270 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
187.14.254.185 - auer2105 [17/Dec/2025:17:49:19 -0700] "POST /cross-platform HTTP/2.0" 204 22315 "https://www.regionalreinvent.com/brand/eyeballs/synthesize/enable" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5322 (KHTML, like Gecko) Chrome/40.0.816.0 Mobile Safari/5322"
37.87.210.201 - - [17/Dec/2025:17:49:19 -0700] "HEAD /revolutionize/extend/world-class/convergence HTTP/2.0" 405 8829 "https://www.nationalconvergence.org/networks/strategic" "Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5360 (KHTML, like Gecko) Chrome/37.0.851.0 Mobile Safari/5360"
148.196.9.212 - ke_yang [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=ke_yang&password=LygZVNBx&status=unauthorized HTTP/1.1" 401 2592 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
15.176.176.218 - - [17/Dec/2025:17:49:19 -0700] "POST /aggregate HTTP/1.1" 200 15155 "https://www.internalweb-readiness.biz/clicks-and-mortar/architect" "Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5331 (KHTML, like Gecko) Chrome/40.0.868.0 Mobile Safari/5331"
30.214.60.221 - - [17/Dec/2025:17:49:19 -0700] "HEAD /solutions/proactive/technologies HTTP/1.0" 504 72316 "https://www.nationalplug-and-play.org/maximize/out-of-the-box" "Mozilla/5.0 (iPad; CPU OS 7_2_2 like Mac OS X; en-US) AppleWebKit/536.12.1 (KHTML, like Gecko) Version/5.0.5 Mobile/8B117 Safari/6536.12.1"
8.123.142.245 - fernanda_hernandez [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=fernanda_hernandez&password=ueMywk48ISA&status=unauthorized HTTP/1.1" 401 2946 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
